TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1683167151880	-6.461625	-3.967381	0.000534	0.863633	0.016138	0.001817	-0.503860	img__0_1683167156806591000.png
1683167151946	-6.392867	-4.091627	0.005455	0.865747	0.017164	0.008973	-0.500107	img__0_1683167156871256000.png
1683167151991	-6.345926	-4.175347	0.008334	0.867054	0.018159	0.011631	-0.497748	img__0_1683167156917685000.png
1683167152039	-6.295949	-4.263671	0.011942	0.868332	0.018654	0.017065	-0.495339	img__0_1683167156964971000.png
1683167152096	-6.236954	-4.367064	0.016659	0.869698	0.019180	0.021527	-0.492741	img__0_1683167157021103000.png
1683167152135	-6.196937	-4.436761	0.019659	0.870579	0.019924	0.022609	-0.491105	img__0_1683167157061141000.png
1683167152186	-6.145094	-4.526515	0.022643	0.871736	0.020479	0.023111	-0.489002	img__0_1683167157110650000.png
1683167152252	-6.078839	-4.640428	0.027413	0.873079	0.017238	0.026335	-0.486561	img__0_1683167157177146000.png
1683167152300	-6.031394	-4.721778	0.032240	0.873811	0.013703	0.026685	-0.485339	img__0_1683167157226979000.png
1683167152348	-5.984749	-4.801917	0.036743	0.874076	0.011241	0.032348	-0.484580	img__0_1683167157274437000.png
1683167152399	-5.936440	-4.885600	0.038394	0.873983	0.015617	0.032328	-0.484629	img__0_1683167157324370000.png
1683167152450	-5.889426	-4.967554	0.036370	0.873887	0.022019	0.027457	-0.484853	img__0_1683167157374985000.png
1683167152495	-5.848650	-5.038349	0.032625	0.874017	0.023269	0.020769	-0.484894	img__0_1683167157421477000.png
1683167152543	-5.805515	-5.112335	0.026506	0.874186	0.025384	0.013098	-0.484750	img__0_1683167157469026000.png
1683167152594	-5.759724	-5.189527	0.020976	0.874670	0.025205	0.012493	-0.483903	img__0_1683167157519226000.png
1683167152642	-5.716557	-5.260880	0.016539	0.875542	0.026125	0.006729	-0.482387	img__0_1683167157568908000.png
1683167152714	-5.651248	-5.365582	0.008713	0.877721	0.025691	-0.000152	-0.478483	img__0_1683167157638152000.png
1683167152756	-5.612656	-5.425563	0.004860	0.879342	0.025026	-0.003473	-0.475519	img__0_1683167157682605000.png
1683167152810	-5.562320	-5.501628	0.000479	0.881707	0.024278	-0.007450	-0.471113	img__0_1683167157734395000.png
1683167152858	-5.516782	-5.568357	-0.002706	0.884041	0.024237	-0.011127	-0.466647	img__0_1683167157784675000.png
1683167152909	-5.467410	-5.638424	-0.005725	0.886797	0.023796	-0.013136	-0.461359	img__0_1683167157834045000.png
1683167152954	-5.422937	-5.699592	-0.007793	0.889363	0.023866	-0.015548	-0.456314	img__0_1683167157880891000.png
1683167153002	-5.374484	-5.764204	-0.009297	0.892241	0.023346	-0.017904	-0.450600	img__0_1683167157928594000.png
1683167153065	-5.309156	-5.848088	-0.010699	0.896254	0.022447	-0.016252	-0.442675	img__0_1683167157991772000.png
1683167153113	-5.258093	-5.911291	-0.011776	0.899345	0.022639	-0.015218	-0.436387	img__0_1683167158039559000.png
1683167153164	-5.202703	-5.977732	-0.012954	0.902658	0.021783	-0.013220	-0.429605	img__0_1683167158089627000.png
1683167153212	-5.149559	-6.039555	-0.014725	0.905729	0.022535	-0.012488	-0.423075	img__0_1683167158136500000.png
1683167153269	-5.085244	-6.112024	-0.017495	0.909366	0.022127	-0.010896	-0.415265	img__0_1683167158193578000.png
1683167153308	-5.040540	-6.161003	-0.019622	0.911804	0.022438	-0.010523	-0.409877	img__0_1683167158233832000.png
1683167153374	-4.963618	-6.242723	-0.023689	0.915907	0.023050	-0.010071	-0.400602	img__0_1683167158300082000.png
1683167153422	-4.906711	-6.301221	-0.026354	0.918822	0.023202	-0.011445	-0.393824	img__0_1683167158349033000.png
1683167153470	-4.848971	-6.358932	-0.028786	0.921733	0.022538	-0.010746	-0.387021	img__0_1683167158396547000.png
1683167153524	-4.783010	-6.422911	-0.031867	0.924885	0.023044	-0.010944	-0.379390	img__0_1683167158449274000.png
1683167153569	-4.727269	-6.475466	-0.034065	0.927473	0.022767	-0.011148	-0.373029	img__0_1683167158495435000.png
1683167153623	-4.659444	-6.537621	-0.036235	0.930494	0.022618	-0.012451	-0.365396	img__0_1683167158548262000.png
1683167153671	-4.598230	-6.592029	-0.038599	0.933167	0.022166	-0.011673	-0.358569	img__0_1683167158596640000.png
1683167153716	-4.540078	-6.642328	-0.041020	0.935576	0.021789	-0.012833	-0.352218	img__0_1683167158640544000.png
1683167153764	-4.477234	-6.695258	-0.043508	0.938108	0.020821	-0.012628	-0.345485	img__0_1683167158691333000.png
1683167153830	-4.389475	-6.766884	-0.046520	0.941414	0.020106	-0.012893	-0.336405	img__0_1683167158757028000.png
