Epoch 0 | Train L_gate: 0.029321257025003433 | Test L_gate: 0.021311340853571892
Epoch 1 | Train L_gate: 0.02399267442524433 | Test L_gate: 0.017502425238490105
Epoch 2 | Train L_gate: 0.019873114302754402 | Test L_gate: 0.01650480553507805
Epoch 3 | Train L_gate: 0.018727559596300125 | Test L_gate: 0.016159577295184135
Epoch 4 | Train L_gate: 0.017375662922859192 | Test L_gate: 0.015390441752970219
Epoch 5 | Train L_gate: 0.016236765310168266 | Test L_gate: 0.015123077668249607
Epoch 6 | Train L_gate: 0.015587559901177883 | Test L_gate: 0.015221144072711468
Epoch 7 | Train L_gate: 0.014922285452485085 | Test L_gate: 0.01438648160547018
Epoch 8 | Train L_gate: 0.014705469831824303 | Test L_gate: 0.014909465797245502
Epoch 9 | Train L_gate: 0.014586844481527805 | Test L_gate: 0.015069801360368729
Saving weights to model_outputs/bc_capsule_con
Epoch 10 | Train L_gate: 0.014203033410012722 | Test L_gate: 0.014822111465036869
Epoch 11 | Train L_gate: 0.014062579721212387 | Test L_gate: 0.014347285032272339
Epoch 12 | Train L_gate: 0.013772726990282536 | Test L_gate: 0.014242316596210003
Epoch 13 | Train L_gate: 0.013730050064623356 | Test L_gate: 0.014092209748923779
Epoch 14 | Train L_gate: 0.013311934657394886 | Test L_gate: 0.013551481068134308
Epoch 15 | Train L_gate: 0.013287203386425972 | Test L_gate: 0.01351709384471178
Epoch 16 | Train L_gate: 0.013299230486154556 | Test L_gate: 0.01312128733843565
Epoch 17 | Train L_gate: 0.013295724056661129 | Test L_gate: 0.0134590407833457
Epoch 18 | Train L_gate: 0.013344848528504372 | Test L_gate: 0.012295566499233246
Epoch 19 | Train L_gate: 0.013304886408150196 | Test L_gate: 0.012577779591083527
Saving weights to model_outputs/bc_capsule_con
Epoch 20 | Train L_gate: 0.013204038143157959 | Test L_gate: 0.012165180407464504
Epoch 21 | Train L_gate: 0.013180425390601158 | Test L_gate: 0.012169665656983852
Epoch 22 | Train L_gate: 0.013089737854897976 | Test L_gate: 0.011440389789640903
Epoch 23 | Train L_gate: 0.012959792278707027 | Test L_gate: 0.01175003033131361
Epoch 24 | Train L_gate: 0.01267116516828537 | Test L_gate: 0.011964649893343449
Epoch 25 | Train L_gate: 0.01281669456511736 | Test L_gate: 0.011873181909322739
Epoch 26 | Train L_gate: 0.012381124310195446 | Test L_gate: 0.011760548688471317
Epoch 27 | Train L_gate: 0.012416733428835869 | Test L_gate: 0.011989656835794449
Epoch 28 | Train L_gate: 0.012407327070832253 | Test L_gate: 0.012022481299936771
Epoch 29 | Train L_gate: 0.01216360367834568 | Test L_gate: 0.011818812228739262
Saving weights to model_outputs/bc_capsule_con
Epoch 30 | Train L_gate: 0.012285499833524227 | Test L_gate: 0.01186341792345047
Epoch 31 | Train L_gate: 0.0120254997164011 | Test L_gate: 0.012229499407112598
Epoch 32 | Train L_gate: 0.011898379772901535 | Test L_gate: 0.011743299663066864
Epoch 33 | Train L_gate: 0.011655054986476898 | Test L_gate: 0.012058436870574951
Epoch 34 | Train L_gate: 0.011864904314279556 | Test L_gate: 0.012073305435478687
Epoch 35 | Train L_gate: 0.011789930053055286 | Test L_gate: 0.012190423905849457
Epoch 36 | Train L_gate: 0.011634662747383118 | Test L_gate: 0.011976811103522778
Epoch 37 | Train L_gate: 0.011542885564267635 | Test L_gate: 0.0121426060795784
Epoch 38 | Train L_gate: 0.011393754743039608 | Test L_gate: 0.012363200075924397
Epoch 39 | Train L_gate: 0.011437871493399143 | Test L_gate: 0.012095905840396881
Saving weights to model_outputs/bc_capsule_con
Epoch 40 | Train L_gate: 0.011618265882134438 | Test L_gate: 0.01180731225758791
Epoch 41 | Train L_gate: 0.011467250995337963 | Test L_gate: 0.011820067651569843
Epoch 42 | Train L_gate: 0.011519878171384335 | Test L_gate: 0.011556647717952728
Epoch 43 | Train L_gate: 0.011520017869770527 | Test L_gate: 0.011234904639422894
Epoch 44 | Train L_gate: 0.011273883283138275 | Test L_gate: 0.011479892767965794
Epoch 45 | Train L_gate: 0.011157228611409664 | Test L_gate: 0.011432688683271408
Epoch 46 | Train L_gate: 0.011195292696356773 | Test L_gate: 0.010751075111329556
Epoch 47 | Train L_gate: 0.011039750650525093 | Test L_gate: 0.011986996047198772
Epoch 48 | Train L_gate: 0.011126679368317127 | Test L_gate: 0.011591325514018536
Epoch 49 | Train L_gate: 0.011208084411919117 | Test L_gate: 0.011107385158538818
Saving weights to model_outputs/bc_capsule_con
Epoch 50 | Train L_gate: 0.011001734994351864 | Test L_gate: 0.011953853070735931
Epoch 51 | Train L_gate: 0.01095269899815321 | Test L_gate: 0.012344437651336193
Epoch 52 | Train L_gate: 0.010966530069708824 | Test L_gate: 0.011832569725811481
Epoch 53 | Train L_gate: 0.01090776827186346 | Test L_gate: 0.011850672774016857
Epoch 54 | Train L_gate: 0.01089521124958992 | Test L_gate: 0.011833623982965946
Epoch 55 | Train L_gate: 0.010949957184493542 | Test L_gate: 0.011643767356872559
Epoch 56 | Train L_gate: 0.011107646860182285 | Test L_gate: 0.011449233628809452
Epoch 57 | Train L_gate: 0.010986038483679295 | Test L_gate: 0.011471312493085861
Epoch 58 | Train L_gate: 0.01085367240011692 | Test L_gate: 0.011386848986148834
Epoch 59 | Train L_gate: 0.010789564810693264 | Test L_gate: 0.011293369345366955
Saving weights to model_outputs/bc_capsule_con
Epoch 60 | Train L_gate: 0.010750329121947289 | Test L_gate: 0.011074894107878208
Epoch 61 | Train L_gate: 0.010824112221598625 | Test L_gate: 0.011128910817205906
Epoch 62 | Train L_gate: 0.010630335658788681 | Test L_gate: 0.011442062444984913
Epoch 63 | Train L_gate: 0.010603186674416065 | Test L_gate: 0.011490934528410435
Epoch 64 | Train L_gate: 0.01055306289345026 | Test L_gate: 0.011123605072498322
Epoch 65 | Train L_gate: 0.01058757770806551 | Test L_gate: 0.011339634656906128
Epoch 66 | Train L_gate: 0.01049575861543417 | Test L_gate: 0.011299503035843372
Epoch 67 | Train L_gate: 0.010576407425105572 | Test L_gate: 0.010745781473815441
Epoch 68 | Train L_gate: 0.010735459625720978 | Test L_gate: 0.010857115499675274
Epoch 69 | Train L_gate: 0.010468828491866589 | Test L_gate: 0.01096123456954956
Saving weights to model_outputs/bc_capsule_con
Epoch 70 | Train L_gate: 0.01047348603606224 | Test L_gate: 0.01149534061551094
Epoch 71 | Train L_gate: 0.010485207661986351 | Test L_gate: 0.011183589696884155
Epoch 72 | Train L_gate: 0.010423675179481506 | Test L_gate: 0.010930976830422878
Epoch 73 | Train L_gate: 0.01040578167885542 | Test L_gate: 0.011292017996311188
Epoch 74 | Train L_gate: 0.010555380955338478 | Test L_gate: 0.01053799968212843
Epoch 75 | Train L_gate: 0.010507478378713131 | Test L_gate: 0.010277618654072285
Epoch 76 | Train L_gate: 0.01050730049610138 | Test L_gate: 0.011434142477810383
Epoch 77 | Train L_gate: 0.010678200051188469 | Test L_gate: 0.01092392485588789
Epoch 78 | Train L_gate: 0.010385178960859776 | Test L_gate: 0.010866373777389526
Epoch 79 | Train L_gate: 0.010296739637851715 | Test L_gate: 0.010743641294538975
Saving weights to model_outputs/bc_capsule_con
Epoch 80 | Train L_gate: 0.010310790501534939 | Test L_gate: 0.01074663084000349
Epoch 81 | Train L_gate: 0.010311963967978954 | Test L_gate: 0.010872540064156055
Epoch 82 | Train L_gate: 0.01022484339773655 | Test L_gate: 0.01073214691132307
Epoch 83 | Train L_gate: 0.010153500363230705 | Test L_gate: 0.01090920064598322
Epoch 84 | Train L_gate: 0.010127863846719265 | Test L_gate: 0.010922062210738659
Epoch 85 | Train L_gate: 0.010110938921570778 | Test L_gate: 0.01078706979751587
Epoch 86 | Train L_gate: 0.010227039456367493 | Test L_gate: 0.010896097868680954
Epoch 87 | Train L_gate: 0.010088219307363033 | Test L_gate: 0.011414699256420135
Epoch 88 | Train L_gate: 0.010239624418318272 | Test L_gate: 0.011288437061011791
Epoch 89 | Train L_gate: 0.010175553150475025 | Test L_gate: 0.010709934867918491
^[[1;5CSaving weights to model_outputs/bc_capsule_con
Epoch 90 | Train L_gate: 0.010029172524809837 | Test L_gate: 0.01096372026950121
Epoch 91 | Train L_gate: 0.010016321204602718 | Test L_gate: 0.010980122722685337
Epoch 92 | Train L_gate: 0.009960664436221123 | Test L_gate: 0.010783105157315731
Epoch 93 | Train L_gate: 0.010119696147739887 | Test L_gate: 0.010953624732792377
Epoch 94 | Train L_gate: 0.009789606556296349 | Test L_gate: 0.010736561380326748
Epoch 95 | Train L_gate: 0.010011527687311172 | Test L_gate: 0.01083613932132721
Epoch 96 | Train L_gate: 0.009909037500619888 | Test L_gate: 0.012113147415220737
