TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1683168841641	2.509363	-7.980766	-1.198736	-0.981871	-0.023018	0.001575	-0.188139	img__0_1683168851317993000.png
1683168841689	2.580414	-7.946375	-1.195933	-0.980493	-0.023808	0.001842	-0.195098	img__0_1683168851367022000.png
1683168841758	2.682270	-7.895097	-1.191734	-0.978436	-0.024246	0.002875	-0.205101	img__0_1683168851435040000.png
1683168841803	2.748546	-7.860473	-1.188575	-0.977050	-0.024390	0.003656	-0.211577	img__0_1683168851481317000.png
1683168841857	2.827948	-7.817657	-1.184710	-0.975338	-0.024517	0.004139	-0.219313	img__0_1683168851534509000.png
1683168841899	2.889618	-7.783401	-1.181517	-0.973974	-0.024459	0.004113	-0.225300	img__0_1683168851577877000.png
1683168841950	2.964391	-7.740665	-1.177703	-0.972293	-0.023973	0.003683	-0.232502	img__0_1683168851628022000.png
1683168841995	3.030247	-7.701950	-1.174342	-0.970800	-0.023038	0.003021	-0.238763	img__0_1683168851672656000.png
1683168842058	3.122213	-7.646244	-1.169609	-0.968680	-0.021936	0.002629	-0.247326	img__0_1683168851736688000.png
1683168842106	3.192087	-7.602678	-1.165902	-0.967049	-0.021430	0.003050	-0.253667	img__0_1683168851783438000.png
1683168842157	3.266162	-7.555334	-1.162280	-0.965307	-0.020794	0.003242	-0.260269	img__0_1683168851835864000.png
1683168842208	3.340076	-7.506939	-1.158783	-0.963550	-0.020386	0.003262	-0.266730	img__0_1683168851885600000.png
1683168842259	3.413830	-7.457520	-1.155395	-0.961777	-0.020369	0.003552	-0.273052	img__0_1683168851938093000.png
1683168842304	3.478779	-7.413066	-1.152430	-0.960214	-0.020015	0.003755	-0.278522	img__0_1683168851981074000.png
1683168842367	3.569519	-7.349511	-1.148410	-0.958054	-0.018867	0.004195	-0.285935	img__0_1683168852044656000.png
1683168842418	3.642839	-7.296968	-1.145408	-0.956301	-0.019066	0.004922	-0.291719	img__0_1683168852095202000.png
1683168842463	3.707456	-7.249807	-1.142772	-0.954806	-0.017720	0.004544	-0.296667	img__0_1683168852141452000.png
1683168842514	3.780605	-7.195502	-1.139813	-0.953125	-0.017131	0.004733	-0.302054	img__0_1683168852191856000.png
1683168842559	3.845081	-7.146860	-1.137191	-0.951652	-0.017057	0.004936	-0.306666	img__0_1683168852237729000.png
1683168842613	3.922376	-7.087571	-1.134360	-0.949869	-0.017742	0.004961	-0.312105	img__0_1683168852290519000.png
1683168842676	4.012426	-7.017128	-1.130760	-0.947815	-0.017893	0.004886	-0.318282	img__0_1683168852354725000.png
1683168842721	4.076654	-6.965970	-1.128042	-0.946341	-0.018432	0.004469	-0.322612	img__0_1683168852398744000.png
1683168842772	4.149325	-6.907115	-1.124973	-0.944672	-0.018513	0.003618	-0.327473	img__0_1683168852449556000.png
1683168842823	4.221815	-6.847328	-1.122295	-0.943002	-0.018488	0.002696	-0.332264	img__0_1683168852501772000.png
1683168842868	4.285589	-6.793817	-1.120187	-0.941519	-0.018627	0.002052	-0.336438	img__0_1683168852546456000.png
1683168842919	4.357612	-6.732311	-1.118335	-0.939851	-0.018066	0.001014	-0.341105	img__0_1683168852597010000.png
1683168842970	4.429329	-6.669949	-1.116514	-0.938181	-0.018078	0.000436	-0.345673	img__0_1683168852649178000.png
1683168843021	4.500709	-6.606771	-1.114221	-0.936493	-0.018312	-0.000489	-0.350207	img__0_1683168852699014000.png
1683168843069	4.567538	-6.546558	-1.112011	-0.934893	-0.018371	-0.001014	-0.354451	img__0_1683168852748880000.png
1683168843117	4.633990	-6.485613	-1.109948	-0.933284	-0.018445	-0.001635	-0.358662	img__0_1683168852795414000.png
1683168843180	4.720598	-6.404556	-1.106757	-0.931172	-0.017960	-0.002173	-0.364131	img__0_1683168852859187000.png
1683168843228	4.786095	-6.342005	-1.104078	-0.929520	-0.018683	-0.002764	-0.368287	img__0_1683168852906765000.png
1683168843276	4.851132	-6.278765	-1.101317	-0.927837	-0.018183	-0.004222	-0.372519	img__0_1683168852955304000.png
1683168843327	4.919664	-6.210845	-1.098420	-0.925980	-0.018431	-0.005860	-0.377078	img__0_1683168853006172000.png
1683168843375	4.983568	-6.146283	-1.095326	-0.924203	-0.017370	-0.007449	-0.381433	img__0_1683168853052646000.png
1683168843423	5.046827	-6.081155	-1.092137	-0.922370	-0.016994	-0.008949	-0.385831	img__0_1683168853100739000.png
1683168843471	5.109375	-6.015501	-1.089201	-0.920487	-0.016831	-0.010297	-0.390276	img__0_1683168853150082000.png
