TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1683231522648	6.602296	-3.293554	-0.607705	0.679140	0.032447	-0.060107	0.730824	img__0_1683231527582325000.png
1683231522711	6.583045	-3.203295	-0.601411	0.678104	0.023237	-0.059703	0.732168	img__0_1683231527646524000.png
1683231522759	6.569567	-3.131398	-0.596513	0.678198	0.017749	-0.058209	0.732355	img__0_1683231527695564000.png
1683231522807	6.557275	-3.057055	-0.591418	0.678952	0.013145	-0.056065	0.731920	img__0_1683231527742593000.png
1683231522858	6.545624	-2.975617	-0.585887	0.680355	0.009232	-0.053450	0.730873	img__0_1683231527791901000.png
1683231522903	6.536597	-2.901854	-0.580913	0.682034	0.006280	-0.050884	0.729521	img__0_1683231527839332000.png
1683231522951	6.528282	-2.821401	-0.575398	0.684205	0.003547	-0.048082	0.727695	img__0_1683231527887536000.png
1683231523017	6.519076	-2.708114	-0.567495	0.687704	0.000505	-0.044225	0.724643	img__0_1683231527951187000.png
1683231523071	6.513450	-2.613407	-0.560716	0.690912	-0.001398	-0.041145	0.721765	img__0_1683231528006030000.png
1683231523119	6.509860	-2.527881	-0.554532	0.693985	-0.003283	-0.038362	0.718959	img__0_1683231528055002000.png
1683231523167	6.507575	-2.441252	-0.548173	0.697206	-0.004918	-0.035841	0.715957	img__0_1683231528102045000.png
1683231523212	6.506604	-2.359159	-0.542169	0.700332	-0.006047	-0.033450	0.713007	img__0_1683231528148466000.png
1683231523260	6.506755	-2.270802	-0.535215	0.703732	-0.007210	-0.030151	0.709789	img__0_1683231528195596000.png
1683231523308	6.508066	-2.181771	-0.527559	0.707123	-0.008208	-0.027040	0.706525	img__0_1683231528243742000.png
1683231523374	6.511664	-2.058487	-0.516265	0.711724	-0.009250	-0.022994	0.702022	img__0_1683231528310704000.png
1683231523428	6.516053	-1.957066	-0.506507	0.715374	-0.009649	-0.019903	0.698391	img__0_1683231528364295000.png
1683231523473	6.520635	-1.872283	-0.498348	0.718320	-0.009933	-0.017590	0.695420	img__0_1683231528408132000.png
1683231523524	6.526761	-1.776006	-0.488978	0.721551	-0.010232	-0.014910	0.692125	img__0_1683231528459128000.png
1683231523572	6.533360	-1.685304	-0.479999	0.724468	-0.010579	-0.012752	0.689110	img__0_1683231528506785000.png
1683231523617	6.540221	-1.600266	-0.471490	0.727100	-0.010813	-0.010575	0.686365	img__0_1683231528553291000.png
1683231523665	6.548197	-1.509632	-0.462158	0.729780	-0.010940	-0.008808	0.683537	img__0_1683231528601372000.png
1683231523731	6.560180	-1.385249	-0.449464	0.733263	-0.011026	-0.005933	0.679830	img__0_1683231528667553000.png
1683231523776	6.568939	-1.300677	-0.440577	0.735476	-0.010871	-0.004328	0.677450	img__0_1683231528711837000.png
1683231523827	6.579367	-1.205125	-0.430380	0.737837	-0.010660	-0.002369	0.674891	img__0_1683231528762694000.png
1683231523875	6.589606	-1.115538	-0.421001	0.739904	-0.010616	-0.001007	0.672628	img__0_1683231528809403000.png
1683231523929	6.601562	-1.015216	-0.411610	0.742085	-0.010100	0.000440	0.670229	img__0_1683231528864307000.png
