TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1683230910677	6.423062	-5.016562	0.011187	0.922658	0.019225	-0.005276	0.385104	img__0_1683230944444903000.png
1683230910737	6.487760	-4.942899	0.010328	0.919907	0.019061	-0.004584	0.391646	img__0_1683230944506522000.png
1683230910785	6.539328	-4.883025	0.009894	0.917679	0.018967	-0.003628	0.396854	img__0_1683230944554939000.png
1683230910833	6.590683	-4.822329	0.009535	0.915426	0.018941	-0.003024	0.402030	img__0_1683230944603480000.png
1683230910884	6.644977	-4.756949	0.009042	0.913006	0.018886	-0.002294	0.407502	img__0_1683230944651608000.png
1683230910932	6.695790	-4.694600	0.008598	0.910699	0.018821	-0.001252	0.412640	img__0_1683230944700176000.png
1683230910983	6.749421	-4.627513	0.008124	0.908206	0.018883	-0.000024	0.418097	img__0_1683230944751462000.png
1683230911031	6.799504	-4.563602	0.007692	0.905813	0.018929	0.001422	0.423253	img__0_1683230944798745000.png
1683230911103	6.873772	-4.466398	0.006958	0.902124	0.019036	0.003461	0.431042	img__0_1683230944872246000.png
1683230911142	6.913508	-4.413102	0.006524	0.900088	0.018981	0.004241	0.435274	img__0_1683230944912453000.png
1683230911193	6.964901	-4.342760	0.006096	0.897392	0.018734	0.005165	0.440806	img__0_1683230944961262000.png
1683230911241	7.012649	-4.275916	0.005878	0.894818	0.018599	0.006072	0.446002	img__0_1683230945010220000.png
1683230911289	7.059754	-4.208474	0.005625	0.892217	0.018520	0.006612	0.451178	img__0_1683230945059432000.png
1683230911340	7.109061	-4.136181	0.005215	0.889389	0.018581	0.008060	0.456702	img__0_1683230945107683000.png
1683230911394	7.160374	-4.058960	0.004720	0.886357	0.018514	0.008627	0.462552	img__0_1683230945161937000.png
1683230911442	7.205180	-3.989760	0.004285	0.883614	0.018397	0.009470	0.467758	img__0_1683230945210103000.png
1683230911490	7.249196	-3.920056	0.003790	0.880855	0.018321	0.009535	0.472935	img__0_1683230945258749000.png
1683230911562	7.313724	-3.814600	0.003288	0.876655	0.018006	0.010447	0.480670	img__0_1683230945331502000.png
1683230911610	7.355719	-3.743731	0.003152	0.873820	0.017829	0.010920	0.485799	img__0_1683230945379734000.png
1683230911655	7.394324	-3.676904	0.003151	0.871137	0.017663	0.011356	0.490591	img__0_1683230945423102000.png
1683230911709	7.439655	-3.596241	0.003289	0.867906	0.017448	0.011361	0.496292	img__0_1683230945479207000.png
1683230911751	7.474165	-3.533158	0.003462	0.865387	0.017339	0.011192	0.500679	img__0_1683230945519574000.png
1683230911805	7.517577	-3.451618	0.003766	0.862140	0.017199	0.011099	0.506256	img__0_1683230945572714000.png
1683230911853	7.555263	-3.378736	0.004086	0.859227	0.017084	0.011413	0.511182	img__0_1683230945622362000.png
1683230911922	7.607937	-3.273346	0.004879	0.854983	0.016829	0.012347	0.518235	img__0_1683230945690775000.png
1683230911970	7.643508	-3.199636	0.005701	0.851994	0.016617	0.012949	0.523128	img__0_1683230945737986000.png
1683230912018	7.678174	-3.125630	0.006659	0.848982	0.016476	0.013251	0.527998	img__0_1683230945786684000.png
1683230912069	7.714005	-3.046697	0.007919	0.845775	0.016246	0.013340	0.533126	img__0_1683230945837896000.png
1683230912114	7.744763	-2.976806	0.009164	0.842943	0.016034	0.013204	0.537602	img__0_1683230945882871000.png
1683230912159	7.774717	-2.906691	0.010337	0.840123	0.015902	0.012772	0.542012	img__0_1683230945928026000.png
1683230912210	7.807713	-2.826958	0.011549	0.836944	0.015675	0.012232	0.546928	img__0_1683230945978396000.png
1683230912273	7.847127	-2.728076	0.013265	0.833039	0.015390	0.011762	0.552876	img__0_1683230946041862000.png
1683230912318	7.874393	-2.657187	0.014697	0.830256	0.015202	0.011686	0.557052	img__0_1683230946086043000.png
1683230912369	7.904411	-2.576598	0.016504	0.827092	0.015057	0.011950	0.561737	img__0_1683230946138860000.png
1683230912417	7.931798	-2.500523	0.018329	0.824100	0.014861	0.012375	0.566114	img__0_1683230946185979000.png
1683230912465	7.958336	-2.424250	0.020308	0.821078	0.014595	0.013100	0.570478	img__0_1683230946234773000.png
1683230912513	7.984007	-2.347813	0.022513	0.818016	0.014301	0.014129	0.574844	img__0_1683230946282039000.png
1683230912576	8.016335	-2.247309	0.025748	0.813942	0.013810	0.015289	0.580580	img__0_1683230946344933000.png
1683230912624	8.039892	-2.170649	0.028350	0.810806	0.013412	0.016085	0.584940	img__0_1683230946392206000.png
1683230912672	8.062490	-2.093960	0.030979	0.807633	0.013129	0.017064	0.589292	img__0_1683230946440577000.png
1683230912720	8.084103	-2.017282	0.033481	0.804428	0.012855	0.017886	0.593642	img__0_1683230946489431000.png
1683230912768	8.104702	-1.940654	0.035830	0.801182	0.012492	0.018978	0.597990	img__0_1683230946536035000.png
1683230912816	8.124271	-1.864122	0.038172	0.797930	0.011782	0.019667	0.602314	img__0_1683230946584707000.png
1683230912885	8.150583	-1.754376	0.041754	0.793249	0.010613	0.021096	0.608440	img__0_1683230946654191000.png
1683230912933	8.167625	-1.678301	0.044833	0.789991	0.009502	0.022377	0.612636	img__0_1683230946703880000.png
1683230912984	8.184590	-1.597809	0.048772	0.786578	0.008326	0.023114	0.617002	img__0_1683230946754853000.png
1683230913032	8.199471	-1.522439	0.052732	0.783425	0.007327	0.023291	0.621006	img__0_1683230946802970000.png
1683230913077	8.212482	-1.452167	0.056563	0.780551	0.006419	0.022848	0.624641	img__0_1683230946846221000.png
1683230913131	8.226929	-1.368370	0.060812	0.777255	0.005573	0.021372	0.628798	img__0_1683230946899428000.png
1683230913173	8.237334	-1.303596	0.063614	0.774812	0.004983	0.019990	0.631855	img__0_1683230946942515000.png
1683230913239	8.252337	-1.202495	0.066746	0.771189	0.004064	0.018263	0.636331	img__0_1683230947008595000.png
1683230913287	8.262302	-1.129476	0.068229	0.768699	0.003420	0.017400	0.639365	img__0_1683230947057054000.png
1683230913341	8.272629	-1.047853	0.068649	0.766027	0.002751	0.016670	0.642587	img__0_1683230947109593000.png
1683230913384	8.280048	-0.984751	0.068159	0.764019	0.002240	0.016578	0.644977	img__0_1683230947153007000.png
1683230913435	8.288376	-0.908592	0.066968	0.761618	0.001499	0.017463	0.647789	img__0_1683230947204027000.png
1683230913486	8.295969	-0.832987	0.065606	0.759209	0.000521	0.019330	0.650560	img__0_1683230947254855000.png
1683230913531	8.302046	-0.766801	0.064811	0.757067	-0.000301	0.020799	0.653005	img__0_1683230947299098000.png
1683230913606	8.310807	-0.657775	0.064278	0.753465	-0.001127	0.022785	0.657093	img__0_1683230947373522000.png
1683230913645	8.314657	-0.601781	0.064229	0.751586	-0.001264	0.023128	0.659228	img__0_1683230947414002000.png
1683230913693	8.318727	-0.533536	0.064413	0.749385	-0.000151	0.020576	0.661815	img__0_1683230947462817000.png
1683230913744	8.322287	-0.461745	0.064862	0.747087	0.000870	0.018817	0.664459	img__0_1683230947514131000.png
1683230913798	8.325202	-0.386468	0.065145	0.744402	0.000607	0.023529	0.667317	img__0_1683230947566247000.png
1683230913846	8.326934	-0.320299	0.064859	0.741921	0.001358	0.024129	0.670051	img__0_1683230947613373000.png
1683230913894	8.327806	-0.254853	0.064075	0.739442	0.002430	0.021979	0.672857	img__0_1683230947663318000.png
1683230913945	8.327828	-0.186007	0.062852	0.736962	0.004400	0.015675	0.675738	img__0_1683230947712484000.png
1683230913993	8.327125	-0.121624	0.061271	0.734666	0.009010	0.010360	0.678290	img__0_1683230947760886000.png
1683230914056	8.325244	-0.037182	0.058195	0.731286	0.014649	0.003815	0.681903	img__0_1683230947823322000.png
1683230914101	8.323283	0.023435	0.055912	0.728683	0.017568	-0.000037	0.684626	img__0_1683230947869610000.png
1683230914152	8.320491	0.092703	0.053689	0.725601	0.019997	-0.003339	0.687817	img__0_1683230947920215000.png
1683230914200	8.317336	0.158624	0.051954	0.722619	0.021682	-0.006048	0.690880	img__0_1683230947969229000.png
1683230914248	8.313709	0.225382	0.050694	0.719571	0.022731	-0.007561	0.694006	img__0_1683230948016335000.png
1683230914299	8.309351	0.297327	0.049818	0.716262	0.023605	-0.008678	0.697378	img__0_1683230948066777000.png
1683230914347	8.304775	0.366070	0.049096	0.713111	0.024062	-0.009647	0.700572	img__0_1683230948115186000.png
1683230914419	8.297062	0.471113	0.048561	0.708294	0.024131	-0.009350	0.705443	img__0_1683230948189022000.png
1683230914470	8.290965	0.546920	0.048458	0.704843	0.023957	-0.009181	0.708899	img__0_1683230948239486000.png
1683230914518	8.284739	0.619320	0.048501	0.701576	0.023653	-0.008734	0.712149	img__0_1683230948285866000.png
1683230914563	8.278460	0.688097	0.048647	0.698478	0.023218	-0.007827	0.715212	img__0_1683230948333125000.png
1683230914611	8.271283	0.762376	0.048963	0.695155	0.022719	-0.007124	0.718465	img__0_1683230948381106000.png
1683230914659	8.263594	0.837563	0.049359	0.691795	0.022147	-0.005956	0.721730	img__0_1683230948427526000.png
1683230914707	8.255368	0.913608	0.049636	0.688381	0.021607	-0.004439	0.725014	img__0_1683230948475941000.png
1683230914755	8.246575	0.990443	0.049775	0.684915	0.020800	-0.002765	0.728321	img__0_1683230948524009000.png
1683230914803	8.237190	1.067977	0.049997	0.681390	0.019971	-0.001091	0.731647	img__0_1683230948572685000.png
1683230914875	8.221947	1.185389	0.050745	0.675949	0.018454	0.002109	0.736715	img__0_1683230948644484000.png
1683230914923	8.210950	1.264256	0.051351	0.672219	0.017641	0.004041	0.740131	img__0_1683230948693099000.png
1683230914968	8.199992	1.338530	0.051858	0.668647	0.016910	0.005670	0.743366	img__0_1683230948738086000.png
1683230915022	8.185988	1.427987	0.052340	0.664281	0.016311	0.007079	0.747271	img__0_1683230948790802000.png
1683230915064	8.174433	1.497756	0.052627	0.660826	0.015812	0.008261	0.750327	img__0_1683230948834148000.png
1683230915115	8.159590	1.582627	0.052796	0.656518	0.015079	0.010278	0.754090	img__0_1683230948882907000.png
1683230915163	8.144776	1.662568	0.052845	0.652364	0.014506	0.011891	0.757674	img__0_1683230948931217000.png
1683230915226	8.124052	1.767464	0.052747	0.646825	0.014046	0.013103	0.762397	img__0_1683230948994603000.png
1683230915274	8.107275	1.847299	0.052779	0.642529	0.013554	0.013865	0.766016	img__0_1683230949042149000.png
1683230915322	8.089639	1.927006	0.053002	0.638204	0.013257	0.014346	0.769620	img__0_1683230949089896000.png
1683230915373	8.069952	2.011523	0.053284	0.633549	0.012833	0.015214	0.773447	img__0_1683230949142258000.png
1683230915421	8.050527	2.090863	0.053653	0.629116	0.012433	0.015898	0.777050	img__0_1683230949189943000.png
1683230915472	8.028921	2.174892	0.053986	0.624351	0.012122	0.016550	0.780875	img__0_1683230949240326000.png
1683230915517	8.009025	2.248771	0.054185	0.620077	0.011795	0.017500	0.784257	img__0_1683230949286072000.png
1683230915583	7.978418	2.356595	0.054576	0.613677	0.011254	0.018652	0.789257	img__0_1683230949352720000.png
1683230915634	7.953603	2.439415	0.055141	0.608664	0.010790	0.019278	0.793121	img__0_1683230949402111000.png
1683230915682	7.929321	2.516921	0.055885	0.603917	0.010448	0.019543	0.796739	img__0_1683230949450926000.png
1683230915727	7.905742	2.589167	0.056646	0.599429	0.010219	0.019999	0.800113	img__0_1683230949495262000.png
1683230915775	7.879717	2.665760	0.057415	0.594604	0.010149	0.020212	0.803701	img__0_1683230949544866000.png
1683230915829	7.849368	2.751329	0.058334	0.589140	0.010095	0.020160	0.807716	img__0_1683230949596804000.png
1683230915871	7.824985	2.817441	0.059159	0.584568	0.010022	0.020047	0.811035	img__0_1683230949641717000.png
